file,label,text_length
html\plain_aast.edu.html,college,11362
html\plain_aast.edu_.html,college,11362
html\plain_aast.edu_ar_.html,announcement,9804
html\plain_aast.edu_ar_aastlife_.html,news,3634
html\plain_aast.edu_ar_about_.html,news,5833
html\plain_aast.edu_ar_about_ranking-details.php_rank=1&&lang_id=1.html,news,5651
html\plain_aast.edu_ar_about_ranking-details.php_rank=2&&lang_id=1.html,college,5138
html\plain_aast.edu_ar_about_ranking-details.php_rank=3&&lang_id=1.html,news,6332
html\plain_aast.edu_ar_admission_.html,college,4103
html\plain_aast.edu_ar_announcements_index.php_unit_id=1.html,announcement,3330
html\plain_aast.edu_ar_calendar_index.php_unit_id=1.html,announcement,3269
html\plain_aast.edu_ar_campuses_.html,news,2735
html\plain_aast.edu_ar_centers_.html,news,2984
html\plain_aast.edu_ar_colleges_.html,college,3740
html\plain_aast.edu_ar_colleges_img_Physical-Therapy.jpg.html,gallery,29951
html\plain_aast.edu_ar_colleges_postgraduate.php.html,college,4592
html\plain_aast.edu_ar_colleges_practical-training_.html,college,2883
html\plain_aast.edu_ar_colleges_practical-training_all-ach.php.html,college,5422
html\plain_aast.edu_ar_colleges_practical-training_local-achievments.php.html,college,922
html\plain_aast.edu_ar_colleges_undergraduate.php.html,college,4108
html\plain_aast.edu_ar_complexes_.html,news,2695
html\plain_aast.edu_ar_deaneries_.html,staff,2934
html\plain_aast.edu_ar_events_index.php_unit_id=1.html,college,5214
html\plain_aast.edu_ar_events_index.php_unit_id=482.html,event,4974
html\plain_aast.edu_ar_gallery_.html,gallery,2633
html\plain_aast.edu_ar_gallery_album.php_unit_id=1&gallery_id=1314.html,gallery,2885
html\plain_aast.edu_ar_gallery_album.php_unit_id=1&gallery_id=1363.html,gallery,2766
html\plain_aast.edu_ar_gallery_album.php_unit_id=1&gallery_id=1409.html,gallery,3130
html\plain_aast.edu_ar_gallery_album.php_unit_id=1&gallery_id=7.html,gallery,2785
html\plain_aast.edu_ar_idc_apps_reg_paths.php.html,news,3049
html\plain_aast.edu_ar_info-for_staff_.html,staff,3972
html\plain_aast.edu_ar_info-for_students_.html,news,5292
html\plain_aast.edu_ar_info-for_visitors_.html,college,4295
html\plain_aast.edu_ar_institutes_.html,news,3083
html\plain_aast.edu_ar_news_index.php_unit_id=1.html,news,3391
html\plain_aast.edu_ar_policies_.html,college,25886
html\plain_aast.edu_ar_programs-courses_results-postgrad.php.html,department,7372
html\plain_aast.edu_ar_programs-courses_results-undergrad.php.html,department,12855
html\plain_aast.edu_ar_programs-courses_results.php_area_study_id=0&search=.html,department,2772
html\plain_aast.edu_ar_services_.html,staff,5993
html\plain_aast.edu_ar_vice_edu-affairs_.html,staff,6216
html\plain_aast.edu_en_.html,college,11362
html\plain_aast.edu_en_aastlife_.html,college,3753
html\plain_aast.edu_en_aastlife_index.php.html,college,3753
html\plain_aast.edu_en_about_.html,college,6208
html\plain_aast.edu_en_about_index.php.html,college,6208
html\plain_aast.edu_en_about_ranking-details.php_rank=1&&lang_id=1.html,news,6509
html\plain_aast.edu_en_about_ranking-details.php_rank=2&&lang_id=1.html,college,5996
html\plain_aast.edu_en_about_ranking-details.php_rank=3&&lang_id=1.html,college,7190
html\plain_aast.edu_en_about_ranking-details.php_rank=4&&lang_id=1.html,college,7494
html\plain_aast.edu_en_admission_.html,program,5595
html\plain_aast.edu_en_admission_calendar.php.html,gallery,3913
html\plain_aast.edu_en_alumni_.html,program,8436
html\plain_aast.edu_en_announcements_index.php_unit_id=1.html,announcement,3830
html\plain_aast.edu_en_calendar_index.php_unit_id=1.html,college,3424
html\plain_aast.edu_en_campuses_.html,college,3681
html\plain_aast.edu_en_campuses_dokki_.html,program,3553
html\plain_aast.edu_en_campuses_Elalamein_.html,college,5247
html\plain_aast.edu_en_campuses_heliopolis_.html,college,3022
html\plain_aast.edu_en_campuses_index.php.html,college,3681
html\plain_aast.edu_en_campuses_portsaid_.html,college,4475
html\plain_aast.edu_en_campuses_smartvillage_.html,college,3251
html\plain_aast.edu_en_campuses_southValley_.html,college,3484
html\plain_aast.edu_en_centers_.html,college,3646
html\plain_aast.edu_en_centers_aaisc_.html,program,6740
html\plain_aast.edu_en_centers_aicc_.html,college,2659
html\plain_aast.edu_en_centers_csc_.html,program,6444
html\plain_aast.edu_en_centers_mrcc_.html,news,7243
html\plain_aast.edu_en_colleges_.html,college,3909
html\plain_aast.edu_en_colleges_ccit_heliopolis_.html,college,6943
html\plain_aast.edu_en_colleges_ccit_smartvillage_.html,college,7164
html\plain_aast.edu_en_colleges_ccit_southvalley_.html,program,5202
html\plain_aast.edu_en_colleges_citl_alex_.html,program,9071
html\plain_aast.edu_en_colleges_citl_dokki_.html,program,3363
html\plain_aast.edu_en_colleges_citl_elalamein_.html,program,8518
html\plain_aast.edu_en_colleges_citl_heliopolis_.html,program,6199
html\plain_aast.edu_en_colleges_citl_latakia_.html,program,3362
html\plain_aast.edu_en_colleges_citl_portsaid_.html,program,4671
html\plain_aast.edu_en_colleges_citl_smart_.html,program,9077
html\plain_aast.edu_en_colleges_citl_southvalley_.html,college,5481
html\plain_aast.edu_en_colleges_clc-cairo_.html,program,8097
html\plain_aast.edu_en_colleges_clc_alex_.html,program,11756
html\plain_aast.edu_en_colleges_clc_heliopolis_.html,program,8097
html\plain_aast.edu_en_colleges_clc_smartvillage_.html,college,9780
html\plain_aast.edu_en_colleges_cmt_dokki_.html,college,4888
html\plain_aast.edu_en_colleges_cmt_dokki_announcements.php_unit_id=366.html,college,3295
html\plain_aast.edu_en_colleges_cmt_dokki_events.php_unit_id=366.html,college,3327
html\plain_aast.edu_en_colleges_cmt_dokki_index.php.html,college,4888
html\plain_aast.edu_en_colleges_cmt_dokki_news.php_unit_id=366.html,college,3926
html\plain_aast.edu_en_colleges_cmt_dokki_photogallery.php_unit_id=366.html,college,3281
html\plain_aast.edu_en_colleges_cmt_dokki_sitemap.php_unit_id=366.html,college,2105
html\plain_aast.edu_en_colleges_cmt_dokki_stafftemp.php_admin=1&unit_id=366.html,college,3603
html\plain_aast.edu_en_colleges_cmt_dokki_stafftemp.php_admin=2&unit_id=366.html,staff,4795
html\plain_aast.edu_en_colleges_cmt_dokki_stafftemp.php_admin=3&unit_id=366.html,staff,3626
html\plain_aast.edu_en_colleges_cmt_elalamein_.html,college,5928
html\plain_aast.edu_en_colleges_cmt_elalamein_album.php_unit_id=616&gallery_id=1161.html,college,3282
html\plain_aast.edu_en_colleges_cmt_elalamein_album.php_unit_id=616&gallery_id=1162.html,college,3271
html\plain_aast.edu_en_colleges_cmt_elalamein_album.php_unit_id=616&gallery_id=1190.html,college,4107
html\plain_aast.edu_en_colleges_cmt_elalamein_album.php_unit_id=616&gallery_id=1191.html,college,4113
html\plain_aast.edu_en_colleges_cmt_elalamein_announcements.php_unit_id=616.html,college,3283
html\plain_aast.edu_en_colleges_cmt_elalamein_events.php_unit_id=616.html,college,3478
html\plain_aast.edu_en_colleges_cmt_elalamein_index.php.html,college,5928
html\plain_aast.edu_en_colleges_cmt_elalamein_list_staff.php_unit_id=616.html,staff,3789
html\plain_aast.edu_en_colleges_cmt_elalamein_news.php_unit_id=616.html,college,4283
html\plain_aast.edu_en_colleges_cmt_elalamein_photogallery.php_unit_id=616.html,college,3456
html\plain_aast.edu_en_colleges_cmt_heliopolis_.html,program,7738
html\plain_aast.edu_en_colleges_cmt_heliopolis_announcements.php_unit_id=385.html,college,5134
html\plain_aast.edu_en_colleges_cmt_heliopolis_contact-us.php_unit_id=385.html,college,5283
html\plain_aast.edu_en_colleges_cmt_heliopolis_contenttemp.php_m=15&p=38500028&a=b.html,college,2729
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=10052.html,department,4615
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=10053.html,department,5081
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=10065.html,college,2597
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=400.html,college,5653
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=401.html,college,5005
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=402.html,college,5217
html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=686.html,college,4583
html\plain_aast.edu_en_colleges_cmt_heliopolis_events.php_unit_id=385.html,college,5950
html\plain_aast.edu_en_colleges_cmt_heliopolis_index.php.html,program,7738
html\plain_aast.edu_en_colleges_cmt_heliopolis_news.php_unit_id=385.html,college,5576
html\plain_aast.edu_en_colleges_cmt_heliopolis_photogallery.php_unit_id=385.html,college,4798
html\plain_aast.edu_en_colleges_cmt_heliopolis_stafftemp.php.html,college,4340
html\plain_aast.edu_en_colleges_cmt_heliopolis_stafftemp.php_admin=1&unit_id=385.html,college,5856
html\plain_aast.edu_en_colleges_cmt_heliopolis_stafftemp.php_admin=2&&unit_id=385.html,staff,9465
html\plain_aast.edu_en_colleges_cmt_heliopolis_stafftemp.php_admin=3&unit_id=385.html,college,5347
html\plain_aast.edu_en_colleges_cmt_latakia_.html,news,2668
html\plain_aast.edu_en_colleges_cmt_latakia_events.php.html,announcement,30455
html\plain_aast.edu_en_colleges_cmt_latakia_index.php.html,news,2668
html\plain_aast.edu_en_colleges_cmt_latakia_news.php.html,college,358612
html\plain_aast.edu_en_colleges_cmt_smartvillage_.html,program,6604
html\plain_aast.edu_en_colleges_cmt_smartvillage_announcements.php_unit_id=436.html,college,3372
html\plain_aast.edu_en_colleges_cmt_smartvillage_dept_index.php_unit_id=437.html,staff,4788
html\plain_aast.edu_en_colleges_cmt_smartvillage_events.php_unit_id=436.html,college,4375
html\plain_aast.edu_en_colleges_cmt_smartvillage_index.php.html,program,6604
html\plain_aast.edu_en_colleges_cmt_smartvillage_index.php_unit_id=433&page_id=43300001.html,college,2891
html\plain_aast.edu_en_colleges_cmt_smartvillage_news.php_unit_id=436.html,college,4086
html\plain_aast.edu_en_colleges_cmt_smartvillage_photogallery.php_unit_id=436.html,college,3358
html\plain_aast.edu_en_colleges_cmt_smartvillage_stafftemp.php_admin=1&&unit_id=436.html,college,4230
html\plain_aast.edu_en_colleges_cmt_smartvillage_stafftemp.php_admin=2&&unit_id=436.html,staff,4650
html\plain_aast.edu_en_colleges_cmt_smartvillage_stafftemp.php_admin=3&&unit_id=436.html,college,3488
html\plain_aast.edu_en_colleges_cmt_southvalley_.html,college,5140
html\plain_aast.edu_en_colleges_cmt_southvalley_album.php_unit_id=500&gallery_id=1214.html,college,3347
html\plain_aast.edu_en_colleges_cmt_southvalley_album.php_unit_id=500&gallery_id=1215.html,college,3354
html\plain_aast.edu_en_colleges_cmt_southvalley_album.php_unit_id=500&gallery_id=1216.html,college,3145
html\plain_aast.edu_en_colleges_cmt_southvalley_album.php_unit_id=500&gallery_id=1217.html,college,3284
html\plain_aast.edu_en_colleges_cmt_southvalley_announcements.php_unit_id=500.html,college,3112
html\plain_aast.edu_en_colleges_cmt_southvalley_events.php_unit_id=500.html,college,3144
html\plain_aast.edu_en_colleges_cmt_southvalley_index.php.html,college,5140
html\plain_aast.edu_en_colleges_cmt_southvalley_list_staff.php_unit_id=500.html,college,3875
html\plain_aast.edu_en_colleges_cmt_southvalley_news.php_unit_id=.html,news,2771
html\plain_aast.edu_en_colleges_cmt_southvalley_photogallery.php_unit_id=500.html,college,3375
html\plain_aast.edu_en_colleges_coe_alex_.html,college,7443
html\plain_aast.edu_en_colleges_coe_alex_album.php_unit_id=3&gallery_id=1250.html,college,4278
html\plain_aast.edu_en_colleges_coe_alex_announcements.php_unit_id=3.html,college,4271
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=12.html,college,5475
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=14.html,college,5293
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=45.html,college,6860
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=46.html,college,6218
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=48.html,college,6088
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=53&menutab=12.html,college,5818
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=55.html,college,5958
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=62.html,college,7077
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=65&menutab=12.html,college,5588
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=66.html,college,6778
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=67.html,college,6928
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=74.html,college,6192
html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=997.html,college,5595
html\plain_aast.edu_en_colleges_coe_alex_events.php_unit_id=3.html,college,4303
html\plain_aast.edu_en_colleges_coe_alex_index.php.html,college,7443
html\plain_aast.edu_en_colleges_coe_alex_news.php_unit_id=3.html,college,5024
html\plain_aast.edu_en_colleges_coe_alex_photogallery.php_unit_id=3.html,college,4305
html\plain_aast.edu_en_colleges_coe_alex_stafftemp.php_admin=1&&unit_id=3.html,college,6347
html\plain_aast.edu_en_colleges_coe_alex_stafftemp.php_admin=2&&unit_id=3.html,staff,28811
html\plain_aast.edu_en_colleges_coe_alex_stafftemp.php_admin=3&&unit_id=3.html,college,7404
html\plain_aast.edu_en_colleges_coe_elalamein_.html,college,7604
html\plain_aast.edu_en_colleges_coe_elalamein_announcements.php_unit_id=608.html,college,4251
html\plain_aast.edu_en_colleges_coe_elalamein_contact-us.php.html,college,4164
html\plain_aast.edu_en_colleges_coe_elalamein_events.php_unit_id=608.html,college,4352
html\plain_aast.edu_en_colleges_coe_elalamein_index.php.html,college,7604
html\plain_aast.edu_en_colleges_coe_elalamein_news.php_unit_id=608.html,college,4752
html\plain_aast.edu_en_colleges_coe_elalamein_photogallery.php_unit_id=608.html,college,3592
html\plain_aast.edu_en_colleges_coe_heliopolis_.html,college,6633
html\plain_aast.edu_en_colleges_coe_heliopolis_announcements.php_unit_id=346.html,college,3817
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=347.html,program,4689
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=348.html,college,4099
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=349.html,program,5024
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=350.html,college,4615
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=351.html,college,5114
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=352.html,program,4768
html\plain_aast.edu_en_colleges_coe_heliopolis_dept_index.php_unit_id=353.html,program,4888
html\plain_aast.edu_en_colleges_coe_heliopolis_events.php_unit_id=346.html,college,4129
html\plain_aast.edu_en_colleges_coe_heliopolis_index.php.html,college,6633
html\plain_aast.edu_en_colleges_coe_heliopolis_news.php_unit_id=346.html,college,5104
html\plain_aast.edu_en_colleges_coe_heliopolis_photogallery.php_unit_id=346.html,college,3803
html\plain_aast.edu_en_colleges_coe_latakia_.html,college,3212
html\plain_aast.edu_en_colleges_coe_latakia_dept_index.php_unit_id=633.html,news,1804
html\plain_aast.edu_en_colleges_coe_latakia_dept_index.php_unit_id=634.html,news,2193
html\plain_aast.edu_en_colleges_coe_latakia_index.php.html,college,3212
html\plain_aast.edu_en_colleges_coe_smartvillage_.html,program,8525
