file,label,reasons
html\plain_aast.edu.html,not_program,fail:url
html\plain_aast.edu_.html,not_program,fail:url
html\plain_aast.edu_ar_.html,not_program,fail:url
html\plain_aast.edu_ar_aastlife_.html,not_program,fail:url
html\plain_aast.edu_ar_about_.html,not_program,fail:url
html\plain_aast.edu_ar_about_ranking-details.php_rank=1&&lang_id=1.html,not_program,fail:url
html\plain_aast.edu_ar_about_ranking-details.php_rank=2&&lang_id=1.html,not_program,fail:url
html\plain_aast.edu_ar_about_ranking-details.php_rank=3&&lang_id=1.html,not_program,fail:url
html\plain_aast.edu_ar_admission_.html,not_program,fail:url
html\plain_aast.edu_ar_announcements_index.php_unit_id=1.html,not_program,fail:url
html\plain_aast.edu_ar_calendar_index.php_unit_id=1.html,not_program,fail:url
html\plain_aast.edu_ar_campuses_.html,not_program,fail:url
html\plain_aast.edu_ar_centers_.html,not_program,fail:url
html\plain_aast.edu_ar_colleges_.html,not_program,fail:url
html\plain_aast.edu_ar_colleges_img_Physical-Therapy.jpg.html,not_program,fail:url
html\plain_aast.edu_ar_colleges_postgraduate.php.html,not_program,fail:url
html\plain_aast.edu_ar_colleges_practical-training_.html,not_program,fail:url
html\plain_aast.edu_ar_colleges_practical-training_all-ach.php.html,not_program,fail:url
html\plain_aast.edu_ar_colleges_practical-training_local-achievments.php.html,not_program,fail:url
html\plain_aast.edu_ar_colleges_undergraduate.php.html,not_program,fail:url
html\plain_aast.edu_ar_complexes_.html,not_program,fail:url
html\plain_aast.edu_ar_deaneries_.html,not_program,fail:url
html\plain_aast.edu_ar_events_index.php_unit_id=1.html,not_program,fail:url
html\plain_aast.edu_ar_events_index.php_unit_id=482.html,not_program,fail:url
html\plain_aast.edu_ar_gallery_.html,not_program,fail:url
html\plain_aast.edu_ar_gallery_album.php_unit_id=1&gallery_id=1314.html,not_program,fail:url
html\plain_aast.edu_ar_gallery_album.php_unit_id=1&gallery_id=1363.html,not_program,fail:url
html\plain_aast.edu_ar_gallery_album.php_unit_id=1&gallery_id=1409.html,not_program,fail:url
html\plain_aast.edu_ar_gallery_album.php_unit_id=1&gallery_id=7.html,not_program,fail:url
html\plain_aast.edu_ar_idc_apps_reg_paths.php.html,not_program,fail:url
html\plain_aast.edu_ar_info-for_staff_.html,not_program,fail:url
html\plain_aast.edu_ar_info-for_students_.html,not_program,fail:url
html\plain_aast.edu_ar_info-for_visitors_.html,not_program,fail:url
html\plain_aast.edu_ar_institutes_.html,not_program,fail:url
html\plain_aast.edu_ar_news_index.php_unit_id=1.html,not_program,fail:url
