college_name,campus,program_name,degree,duration_terms,course_list,college_id,source
"Arab Academy for Science, Technology & Maritime Transport","Abu Kir, Alamein, Alexandria, Aswan, Cairo, Dokki, El Alamein, Heliopolis, Latakia, Miami, Port Said, Smart Village, South Valley, alamein",among universities and educational institutions in the Arab,PhD,100,"requirements. International Maritime Organization Consultancy Services through Arab Maritime Accident Investigation; Consultative Center; Quality in Egypt According to THE Impact Rankings Read; More The Academy's Strategy for Training in Light of the AI Revolution AASTMT Industrial Advisory Council; 7th Session Read; More Arab Dialogue Circle on ""Artificial Intelligence in the Arab World"" Read; More 50 Years Journey in Brief 1972 We started our activities in; Alexandria 1989 AASTMT became a branch of the WMU in; Egypt 1992 Member in the International; Association of Universities 2007 The ISO among the 1st six positions; for standard levels of higher education 2012 AASTMT established a New; Art Campus in Smart Village 2022 #1 for Education Quality in Egypt",ARAB_ACA,aast_v2_output/html\plain_aast.edu.html
الأكاديمية العربية للعلوم والتكنولوجيا والنقل البحري,,التطوير والابتكار هما طريقتنا في الوصول إلى الريادة,,,التأثير جوائز; لدينا ويشرفنا أن نشارك نجاحهم وجوائزهم فريق الغواصات الآلية (2019) (AAM Team) فريق الأكاديمية في السيارات الأولمبياد الدولي الرابع والعشرون للمعلوماتية (IOI2012) فريق الأكاديمية هو الفائز ببطولة البحر الأبيض المتوسط الثالثة للصيد فريق الأكاديمية في السيارات,الاكاديم,aast_v2_output/html\plain_aast.edu_ar_.html
الكليات,,التطوير والابتكار هما طريقتنا في الوصول إلى الريادة,,,,الكليات,aast_v2_output/html\plain_aast.edu_ar_colleges_.html
الدراسات العليا,,التطوير والابتكار هما طريقتنا في الوصول إلى الريادة,MBA,,,الدراسات,aast_v2_output/html\plain_aast.edu_ar_colleges_postgraduate.php.html
التدريب العملى للطلاب,,التدريب العملى للطلاب,,,,التدريب_,aast_v2_output/html\plain_aast.edu_ar_colleges_practical-training_.html
التدريب العملى للطلاب,,التطوير والابتكار هما طريقتنا في الوصول إلى الريادة,,,,التدريب_,aast_v2_output/html\plain_aast.edu_ar_colleges_practical-training_all-ach.php.html
Practical Training,,Practical Training,,,,PRACTICA,aast_v2_output/html\plain_aast.edu_ar_colleges_practical-training_local-achievments.php.html
أهم الأحداث في الاكاديمية,,التطوير والابتكار هما طريقتنا في الوصول إلى الريادة,,,,اهم_الاح,aast_v2_output/html\plain_aast.edu_ar_events_index.php_unit_id=1.html
الزائرين,,التطوير والابتكار هما طريقتنا في الوصول إلى الريادة,,,,الزايرين,aast_v2_output/html\plain_aast.edu_ar_info-for_visitors_.html
سياسات الاستخدام,,التطوير والابتكار هما طريقتنا في الوصول إلى الريادة,,,سياسات الاستخدام,سياسات_ا,aast_v2_output/html\plain_aast.edu_ar_policies_.html
الأكاديمية العربية للعلوم و التكنولوجيا و النقل البحري,"Dokki, El Alamein, Heliopolis, Latakia, Miami, Port Said, Smart Village, South Valley",الأكاديمية العربية للعلوم و التكنولوجيا و النقل البحري,,,,الاكاديم,aast_v2_output/html\plain_aast.edu_ar_programs-courses_results-postgrad.php.html
