college_name,campus,program_name,degree,duration_terms,college_id
"Arab Academy for Science, Technology & Maritime Transport","Abu Kir, Alamein, Alexandria, Aswan, Cairo, Dokki, El Alamein, Heliopolis, Latakia, Miami, Port Said, Smart Village, South Valley, alamein","Arab Academy for Science, Technology & Maritime Transport - AASTMT",Diploma,100,ARABACAD
Rankings,,Rankings | AASTMT,,,RANKINGS
الأكاديمية العربية للعلوم و التكنولوجيا و النقل البحري,"Dokki, El Alamein, Heliopolis, Latakia, Miami, Port Said, Smart Village, South Valley",الأكاديمية العربية للعلوم و التكنولوجيا و النقل البحري- | AASTMT,Bachelor,,الأكاديم
AASTMT,"Alamein, Alexandria, Cairo, Heliopolis, Latakia, Port Said, Smart Village, South Valley, alamein",AASTMT | Life at the Academy,,100,AASTMT
About,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",About | AASTMT,,100,ABOUT
Deanery of Admission and Registration,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Deanery of Admission and Registration-Alexandria | AASTMT,Bachelor,,DEANERYO
AASTMT Calaendar,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",AASTMT Calaendar,,,AASTMTCA
AASTMT Alumni,"Alamein, Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",AASTMT Alumni-Alexandria | AASTMT,MBA,,AASTMTAL
,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",- | AASTMT,PhD,,
AASTMT Campuses,"Abu Kir, Alexandria, Aswan, Cairo, Dokki, El Alamein, Heliopolis, Latakia, Miami, Port Said, Smart Village, South Valley, alamein",AASTMT Campuses,,,AASTMTCA
Dokki Campus,"Alexandria, Cairo, Dokki, Latakia",Dokki Campus| AASTMT,Diploma,,DOKKICAM
El Alamein Campus,"Alamein, Alexandria, Cairo, El Alamein, El alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein, el alamein",El Alamein Campus-El Alamein | AASTMT,,,ELALAMEI
Heliopolis Campus,"Cairo, Heliopolis",Heliopolis Campus - Cairo| AASTMT,Diploma,60,HELIOPOL
Port Said Campus,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Port Said Campus-Port Said | AASTMT,,,PORTSAID
Smart Village Campus,Smart Village,Smart Village Campus| AASTMT,,,SMARTVIL
AASTMT Centers,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",AASTMT Centers,,,AASTMTCE
Arab Academy International Study Center,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Arab Academy International Study Center- | AASTMT,,,ARABACAD
Agreements & International Cooperation Center,Alexandria,Agreements & International Cooperation Center | Homepage,,,AGREEMEN
Computer Services Center,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Computer Services Center-Alexandria | AASTMT,,,COMPUTER
The Maritime Research and Consultation Center,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",The Maritime Research and Consultation Center-Alexandria | AASTMT,,80,THEMARIT
"Arab Academy for Science, Technology & Maritime Transport","Alexandria, Cairo, Dokki, El Alamein, Heliopolis, Latakia, Port Said, Smart Village, South Valley, alamein","Arab Academy for Science, Technology & Maritime Transport  | Colleges",,,ARABACAD
Computing & Information Technology,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Computing & Information Technology-Cairo | AASTMT,Diploma,,COMPUTIN
College Of  Computing & Information Technology,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College Of  Computing & Information Technology-Smart Village | AASTMT,Diploma,,COLLEGEO
Computing & Information Technology,"Alexandria, Aswan, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Computing & Information Technology-South Valley | AASTMT,BSc,,COMPUTIN
College of International Transport and Logistics,"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of International Transport and Logistics -Alexandria | AASTMT,Diploma,,COLLEGEO
College of International Transport and Logistics,Dokki,College of International Transport and Logistics - Dokki,Bachelor,,COLLEGEO
College of International Transport and Logistics,"Alamein, Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of International Transport and Logistics -El Alamein | AASTMT,B.Sc,,COLLEGEO
