college_name,campus,program_name,degree,duration_terms,college_id,source_hint
AASTMT (unspecified),,الدراسات العليا | الأكاديمية العربية,Master,4,AASTMT_UNSPE,aast_v2_output/html/plain_aast.edu_ar_colleges_postgraduate.php.html
AASTMT (unspecified),,الدراسات الجامعية | الأكاديمية العربية,,,AASTMT_UNSPE,aast_v2_output/html/plain_aast.edu_ar_colleges_undergraduate.php.html
AASTMT (unspecified),"Dokki, El Alamein, Heliopolis, Latakia, Miami, Port Said, Smart Village, South Valley",الأكاديمية العربية للعلوم و التكنولوجيا و النقل البحري- | AASTMT,Meng,,AASTMT_UNSPE,aast_v2_output/html/plain_aast.edu_ar_programs-courses_results-postgrad.php.html
College of Engineering & Technology Alexandria Apply Now About Vision & Mission College Message College Values Core Values College History College Council Joint Programs Accreditations College Strategic Plan College Catalogue Contact Us Industrial Advisory Committee Admission Re-admission Postponing the Study Transfer Regulation Admission Requirements External Academic Grants Resuming Enrollment Fees and Scholarships Deletion - Addition & Withdrawal Faculty & Staff Administration Faculty Members Staff Students Student Life Students Societies Students Council IEEE Students Branch Students Activities Students Services Registration Forms E-mail Practical Training Academics Course Grade General Grade Code of Conduct Class Attendance Academic Advisor Graduation Requirements Assessment & Grading System Units Quality Assurance Unit Energy Research Unit Engineering Training Center Postgraduate Departments Architectural Engineering Basic & Applied Sciences Institution Computer Engineering Construction & Building Engineering Electrical & Control Engineering Electronics & Communication Engineering Industrial & Management Engineering Marine & Offshore Engineering Mechanical Engineering Chemical and Petrochemical Engineering Oil and Gas Engineering College Activities Facilities Engineering Center,Alexandria,Engineering Postgraduate Studies,Postgraduate,,COLLEGE_OF_E,aast_v2_output/html/plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=74.html
AASTMT (unspecified),"Alexandria, Cairo, Dokki, Heliopolis, Port Said, Smart Village, South Valley, alamein",Postgraduate Studies | AASTMT,Postgraduate,,AASTMT_UNSPE,aast_v2_output/html/plain_aast.edu_en_colleges_postgraduate.php.html
AASTMT (unspecified),"Alexandria, Cairo, Dokki, El Alamein, Heliopolis, Latakia, Port Said, Smart Village, South Valley, alamein",Undergraduate Studies | AASTMT,Postgraduate,,AASTMT_UNSPE,aast_v2_output/html/plain_aast.edu_en_colleges_undergraduate.php.html
AASTMT (unspecified),"Alexandria, Cairo, Heliopolis, Port Said, Smart Village, South Valley, alamein",Business Information Systems-Alexandria | AASTMT,Postgraduate,8,AASTMT_UNSPE,aast_v2_output/html/plain_aast.edu_en_programs-courses_program.php_unit_id=232&program_id=411&language_id=1.html
College of Management & Technology,"Alamein, Alexandria, Cairo, El Alamein, Heliopolis, Port Said, Smart Village, South Valley, alamein",College of Management & Technology-El Alamein | AASTMT,Postgraduate,8,COLLEGE_OF_M,aast_v2_output/html/plain_aast.edu_en_programs-courses_program.php_unit_id=616&program_id=380&language_id=1.html
AASTMT (unspecified),"Alexandria, Cairo, Dokki, El Alamein, Heliopolis, Latakia, Miami, Port Said, Smart Village, South Valley, alamein, cairo","Arab Academy for Science, Technology and Maritime Transport- | AASTMT",Postgraduate,,AASTMT_UNSPE,aast_v2_output/html/plain_aast.edu_en_programs-courses_results-postgrad.php.html
AASTMT (unspecified),,Lab Utilization Program,,,AASTMT_UNSPE,aast_v2_output/html/plain_aastmtic3.aast.edu_lup_frm_searchDevice.aspx.html
AASTMT (unspecified),"Alexandria, Miami",International Education Programs |,,,AASTMT_UNSPE,aast_v2_output/html/plain_iep.aast.edu_en_home.html
AASTMT (unspecified),heliopolis,"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=267&unit_id=385"", ""source_page"": ""https://aast.edu/en/colleges/cmt/heliopolis/programtemp.php?program_id=267&unit_id=385"", ""error"":",,,AASTMT_UNSPE,aast_v2_output/api/https___aast.edu_getData_getProgramData2021.php_program_id_267_unit_id_385.json
AASTMT (unspecified),heliopolis,"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=268&unit_id=385"", ""source_page"": ""https://aast.edu/en/colleges/cmt/heliopolis/programtemp.php?program_id=268&unit_id=385"", ""error"":",,,AASTMT_UNSPE,aast_v2_output/api/https___aast.edu_getData_getProgramData2021.php_program_id_268_unit_id_385.json
