college_name,campus,program_name,degree,duration_terms,college_id,unit_id,program_id,source_hint
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",International Maritime Organization Compound-Alexandria | AASTMT,,,AASTMT_UNSPE,1,1,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_complexes_imo_.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Electronics & Communications Engineering,,,AASTMT_UNSPE,66,5,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=66.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Industrial & Management Engineering,,,AASTMT_UNSPE,67,6,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=67.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Mechanical Engineering,,,AASTMT_UNSPE,53,18,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=53&menutab=12.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Computer Engineering,,,AASTMT_UNSPE,65,51,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=65&menutab=12.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Marine and Offshore Engineering,,,AASTMT_UNSPE,48,54,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=48.html
AASTMT (unspecified),,الأكاديمية العربية للعلوم و التكنولوجيا و النقل البحري- | AASTMT,,,AASTMT_UNSPE,47,71,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_ar_programs-courses_results-undergrad.php.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Basic and Applied Science Engineering,,,AASTMT_UNSPE,55,102,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=55.html
College of Language and Communication -Cairo,"Cairo, alexandria, aswan, cairo, heliopolis",College of Language and Communication -Cairo | AASTMT,,,COLLEGE_OF_L,1,163,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_clc-cairo_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_clc_heliopolis_.html
AASTMT (unspecified),,الأكاديمية العربية للعلوم و التكنولوجيا و النقل البحري- | AASTMT,,,AASTMT_UNSPE,349,199,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_ar_programs-courses_results-postgrad.php.html
College of Engineering,"Latakia, latakia",Engineering and  Technology Latakia - COE | AASTMT,,,COLLEGE_OF_E,633,256,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_latakia_dept_index.php_unit_id=633.html
College of Engineering,"Latakia, latakia",Engineering and  Technology Latakia - COE | AASTMT,,,COLLEGE_OF_E,634,257,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_latakia_dept_index.php_unit_id=634.html
College of Pharmacy-El Alamein,"Alamein, El Alamein, alexandria, aswan, cairo",College of Pharmacy-El Alamein | AASTMT,,,COLLEGE_OF_P,1,263,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_pharmacy_ElAlamein_.html
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 267,,,URL_HTTPSAAS,385,267,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_267_unit_id_385.json
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 268,,,URL_HTTPSAAS,385,268,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_268_unit_id_385.json
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e","alamein, dokki, heliopolis, latakia",Program 269,,,URL_HTTPSAAS,385,269,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\api_index.json;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_269_unit_id_385.json
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 270,,,URL_HTTPSAAS,385,270,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_270_unit_id_385.json
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 271,,,URL_HTTPSAAS,385,271,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_271_unit_id_385.json
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 272,,,URL_HTTPSAAS,385,272,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_272_unit_id_385.json
College of Management & Technology-Cairo,"Cairo, Heliopolis, alexandria, aswan, cairo, heliopolis",College of Management & Technology-Cairo | AASTMT,,,COLLEGE_OF_M,1,273,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_273_unit_id_385.json;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_cmt_heliopolis_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_cmt_heliopolis_announcements.php_unit_id=385.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_cmt_heliopolis_contact-us.php_unit_id=385.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=10052.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_cmt_heliopolis_dept_index.php_unit_id=10053.html
College of Artificial Intelligence-El Alamein,"El Alamein, alamein, alexandria, aswan, cairo",College of Artificial Intelligence-El Alamein | AASTMT,,,COLLEGE_OF_A,1,277,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_277_unit_id_655.json;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_CAI_.html
College of Dentistry-El Alamein,"El Alamein, alamein, alexandria, aswan, cairo",College of Dentistry-El Alamein | AASTMT,,,COLLEGE_OF_D,1,278,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_dentistry_.html
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=283&unit_id=655"", ""source_page"": ""https://aast.edu/e",,Program 283,,,URL_HTTPSAAS,655,283,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_283_unit_id_655.json
College of Law-Smart Village,"Smart Village, alexandria, aswan, cairo",College of Law-Smart Village | AASTMT,,,COLLEGE_OF_L,1,284,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_law_.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Chemical and Petrochemical Engineering,,,AASTMT_UNSPE,14,285,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=14.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Oil and Gas Engineering,,,AASTMT_UNSPE,12,286,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=12.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Engineering Postgraduate Studies,,,AASTMT_UNSPE,74,291,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_coe_alex_dept_index.php_unit_id=74.html
AASTMT (unspecified),"Alexandria, alexandria, aswan, cairo",Arab institute for leadership development-Alexandria | AASTMT,,,AASTMT_UNSPE,1,293,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_institutes_aild_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_programs-courses_results-postgrad.php.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_www.aast.edu_en_institutes_aild_.html
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 305,,,URL_HTTPSAAS,385,305,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_305_unit_id_385.json
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 311,,,URL_HTTPSAAS,385,311,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_311_unit_id_385.json
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 312,,,URL_HTTPSAAS,385,312,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_312_unit_id_385.json
College of  Computing &amp,"Alexandria, alexandria, aswan, cairo",College of  Computing &amp; Information Technology-Alexandria | AASTMT,,,COLLEGE_OF_C,1,316,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_ccit_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_www.aast.edu_en_colleges_ccit_.html
"{""url"": ""https://aast.edu/getData/getProgramData2021.php?program_id=442&unit_id=385"", ""source_page"": ""https://aast.edu/e",heliopolis,Program 330,,,URL_HTTPSAAS,385,330,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\api\https___aast.edu_getData_getProgramData2021.php_program_id_330_unit_id_385.json
College of Engineering and Technology at the Arab Academy for Science & Technology & Mariti,Alexandria,"Arab Academy for Science, Technology & Maritime Transport - AASTMT",Bachelor,8,COLLEGE_OF_E,1222,335,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_includes_functions_language_redirect.php_url=https%3A%2F%2Faast.edu%2Far%2F%26lnselect%3D1.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_index.php.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_www.aast.edu.html
College of Pharmacy-Alexandria,"Alexandria, alexandria, aswan, cairo",College of Pharmacy-Alexandria | AASTMT,,,COLLEGE_OF_P,1,343,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\plain_aast.edu_en_colleges_pharmacy_alex_.html;C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_pharmacy_.html
College of Medicine-El Alamein,"El Alamein, alamein, alexandria, aswan, cairo",College of Medicine-El Alamein | AASTMT,,,COLLEGE_OF_M,1,346,C:\Users\mh978\Downloads\aast_scrape_final\step8\aast_v2_output\html\pw_aast.edu_en_colleges_medicine_.html
